protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc,result_group,heldout_source,domain_model_role,heldout_category
random_split,test,tfidf_word_logreg,text_title,2389,683,0.7510980966325037,0.7421336529817202,0.7259229534510434,0.7571790490917936,0.5817490494296578,0.7183098591549296,0.6428571428571429,0.8149535510937969,0.6567212972689409,random_split,,,
random_split,test,tfidf_word_char_logreg,text_title,2389,683,0.7496339677891655,0.7308011187693537,0.7200584844381059,0.7542967692183866,0.5846774193548387,0.6807511737089202,0.6290672451193059,0.8190790130856058,0.6664767083790085,random_split,,,
random_split,test,tfidf_word_svm,text_title,2389,683,0.7540263543191801,0.7224403156527819,0.7183781661103475,0.7560801594011705,0.5991189427312775,0.6384976525821596,0.6181818181818182,0.8024672859854161,0.6396687625591426,random_split,,,
random_split,test,tfidf_word_char_svm,text_title,2389,683,0.7569546120058566,0.7181500349615423,0.7175886256301935,0.7572633648401755,0.6093023255813953,0.6150234741784038,0.6121495327102804,0.8038657476775546,0.6492344173264958,random_split,,,
random_split,test,tfidf_char_svm,text_title,2389,683,0.7496339677891655,0.7230995904505044,0.7163380151700252,0.752906646892756,0.5889830508474576,0.6525821596244131,0.6191536748329621,0.8018779342723005,0.6498198628443849,random_split,,,
random_split,test,tfidf_char_logreg,text_title,2389,683,0.7408491947291361,0.7269853161522326,0.7132192292637797,0.7467140458892354,0.5697674418604651,0.6901408450704225,0.6242038216560509,0.8117071221656178,0.6564145932695944,random_split,,,
random_split,test,tfidf_word_rf,text_title,2389,683,0.7554904831625183,0.6760113874737789,0.6878162932957453,0.7425089561754957,0.6513157894736842,0.4647887323943662,0.5424657534246575,0.812701028868245,0.6545296617547124,random_split,,,
random_split,test,keyword_heuristic_threshold_1.00,simple_rule,2389,683,0.7554904831625183,0.6580411547297973,0.6710787748757833,0.7337776449037916,0.6854838709677419,0.39906103286384975,0.5044510385756676,0.661142742982719,0.476680970588907,random_split,,,
random_split,test,tfidf_word_nb,text_title,2389,683,0.7423133235724744,0.6073918689441614,0.6067624506032294,0.6936367008603266,0.7681159420289855,0.24882629107981222,0.375886524822695,0.8063130556387974,0.6411498267456923,random_split,,,
random_split,test,random_stratified,simple_rule,2389,683,0.575402635431918,0.5079362701028869,0.5078761677598886,0.5764702475690251,0.3225806451612903,0.3286384976525822,0.32558139534883723,,,random_split,,,
random_split,test,length_heuristic_threshold_73.00,simple_rule,2389,683,0.5563689604685212,0.49795724702826893,0.4973708689854833,0.5621679181783925,0.3093220338983051,0.3427230046948357,0.32516703786191536,0.4788982119668365,0.29772142038938176,random_split,,,
random_split,test,majority_class,simple_rule,2389,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,,random_split,,,
random_split,validation,tfidf_word_char_logreg,text_title,2389,342,0.7865497076023392,0.7810499105189899,0.7643360801970945,0.7914155497958689,0.6307692307692307,0.7663551401869159,0.6919831223628692,0.8577848478822828,0.7080235611770205,random_split,,,
random_split,validation,tfidf_word_logreg,text_title,2389,342,0.7807017543859649,0.7742493537482601,0.7578795344490697,0.785700907324523,0.6230769230769231,0.7570093457943925,0.6835443037974683,0.8461722012328494,0.6981192337529136,random_split,,,
random_split,validation,tfidf_word_char_svm,text_title,2389,342,0.7777777777777778,0.7492145555776496,0.7453761755485893,0.7793712991988855,0.6371681415929203,0.6728971962616822,0.6545454545454545,0.8337243984887652,0.6800324616927942,random_split,,,
random_split,validation,tfidf_char_svm,text_title,2389,342,0.7690058479532164,0.7504672897196262,0.7406977302173808,0.7727635626969114,0.6147540983606558,0.7009345794392523,0.6550218340611353,0.849473056273613,0.6931008154934931,random_split,,,
random_split,validation,tfidf_char_logreg,text_title,2389,342,0.7573099415204678,0.7546828395307218,0.7351137986058621,0.7638118419702009,0.5882352941176471,0.7476635514018691,0.6584362139917695,0.8579041558958043,0.7079744707481401,random_split,,,
random_split,validation,tfidf_word_svm,text_title,2389,342,0.7602339181286549,0.7364485981308411,0.7290644201414384,0.7634583489549187,0.6050420168067226,0.6728971962616822,0.6371681415929203,0.8205209783257109,0.6600716981779843,random_split,,,
